name;location;category;subCategory;unit;type;ubp06;ipcc2007;metaData
Aluminium, 24% in bauxite, 11% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Anhydrite, in ground;;resource;in ground;kg;Resource;;;
Barite, 15% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Basalt, in ground;;resource;in ground;kg;Resource;;;
Borax, in ground;;resource;in ground;kg;Resource;;;
Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground;;resource;in ground;kg;Resource;;;
Calcite, in ground;;resource;in ground;kg;Resource;;;
Carbon dioxide, in air;;resource;in air;kg;Resource;;;
Carbon, in organic matter, in soil;;resource;in ground;kg;Resource;;;
Cerium, 24% in bastnasite, 2.4% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Chromium, 25.5% in chromite, 11.6% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Chrysotile, in ground;;resource;in ground;kg;Resource;;;
Cinnabar, in ground;;resource;in ground;kg;Resource;;;
Clay, bentonite, in ground;;resource;in ground;kg;Resource;;;
Clay, unspecified, in ground;;resource;in ground;kg;Resource;;;
Coal, brown, in ground;;resource;in ground;kg;Resource;33,00000 ;;
Coal, hard, unspecified, in ground;;resource;in ground;kg;Resource;63,00000 ;;
Cobalt, in ground;;resource;in ground;kg;Resource;;;
Colemanite, in ground;;resource;in ground;kg;Resource;;;
Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore, in ground;;resource;in ground;kg;Resource;;;
Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground;;resource;in ground;kg;Resource;;;
Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground;;resource;in ground;kg;Resource;;;
Diatomite, in ground;;resource;in ground;kg;Resource;;;
Dolomite, in ground;;resource;in ground;kg;Resource;;;
Energy, geothermal;;resource;in ground;kg;Resource;1,10000 ;;
Energy, geothermal, converted;;resource;in ground;MJ;Resource;1,10000 ;;
Energy, gross calorific value, in biomass;;resource;biotic;MJ;Resource;1,10000 ;;
Energy, gross calorific value, in biomass, primary forest;;resource;biotic;MJ;Resource;3,30000 ;;
Energy, kinetic (in wind), converted;;resource;in air;MJ;Resource;1,02000 ;;
Energy, kinetic, flow, in wind;;resource;in air;kg;Resource;1,02000 ;;
Energy, potential (in hydropower reservoir), converted;;resource;in water;MJ;Resource;1,05000 ;;
Energy, potential, stock, in barrage water;;resource;in water;kg;Resource;1,05000 ;;
Energy, solar;;resource;in air;kg;Resource;1,00000 ;;
Energy, solar, converted;;resource;in air;MJ;Resource;1,00000 ;;
Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Feldspar, in ground;;resource;in ground;kg;Resource;;;
Fluorine, 4.5% in apatite, 1% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Fluorine, 4.5% in apatite, 3% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Fluorspar, 92%, in ground;;resource;in ground;kg;Resource;;;
Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Gallium, 0.014% in bauxite, in ground;;resource;in ground;kg;Resource;;;
Gas, mine, off-gas, process, coal mining;;resource;in ground;Nm³;Resource;131,00000 ;;
Gas, natural, in ground;;resource;in ground;Nm³;Resource;133,00000 ;;
Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 1.4E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 4.3E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 4.9E-5%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 6.7E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 7.1E-4%, in ore, in ground;;resource;in ground;kg;Resource;;;
Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;;resource;in ground;kg;Resource;;;
Granite, in ground;;resource;in ground;kg;Resource;;;
Gravel, in ground;;resource;in ground;kg;Resource;29,00000 ;;
Gypsum, in ground;;resource;in ground;kg;Resource;;;
Helium, 0.08% in natural gas, in ground;;resource;in ground;kg;Resource;;;
Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground;;resource;in ground;kg;Resource;;;
Iron, 46% in ore, 25% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Kaolinite, 24% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Kieserite, 25% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Krypton, in air;;resource;in air;kg;Resource;;;
Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground;;resource;in ground;kg;Resource;;;
Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground;;resource;in ground;kg;Resource;;;
